Date,Close,High,Low,Open,Volume
2/26/2016,166.2946014,167.6499134,166.1326435,167.556162,129833700
2/29/2016,164.9904327,167.2663377,164.7943845,166.3116545,125918100
3/1/2016,168.8688812,168.9541264,165.7490956,166.2264373,141799700
3/2/2016,169.6274719,169.6786138,168.1357731,168.5534534,102415000
3/3/2016,170.2923737,170.3094253,168.868868,169.4484935,95172200
3/4/2016,170.8464661,171.6306852,169.6531117,170.4884598,129293600
3/7/2016,170.9828186,171.3919797,169.8406064,169.9173192,100219000
3/8/2016,169.1160126,170.4116631,168.9540676,169.9002314,123974900
3/9/2016,169.9514313,170.3009052,169.1416413,169.9343796,94801200
3/10/2016,170.0877991,171.3919823,168.2466259,170.4458183,156838700
3/11/2016,172.8325348,172.8751574,170.0707685,171.5539354,137964500
3/14/2016,172.6109161,173.0712062,171.9886681,172.3211034,73612000
3/15/2016,172.3296051,172.6364694,171.3749218,171.6391636,93169100
3/16/2016,173.3269043,173.7360654,171.801115,171.8437376,129303200
3/17/2016,174.4265594,174.9379915,172.8410954,173.2417244,134278500
3/18/2016,175.1119385,175.4546516,174.6149953,174.9320056,138372400
3/21/2016,175.3604584,175.591797,174.6150499,174.8463886,72926700
3/22/2016,175.2661285,175.8401801,174.4179092,174.5806894,97471900
3/23/2016,174.1094971,175.0691043,173.9381274,174.8806081,81052500
3/24/2016,174.0323944,174.0666736,172.8500249,173.0727871,84360900
3/28/2016,174.1352386,174.666448,173.6811378,174.452249,62408200
3/29/2016,175.7459717,175.8573593,173.4154858,173.7239328,92922900
3/30/2016,176.5171204,177.2453891,176.1486913,176.7570222,86365300
3/31/2016,176.0886841,176.8512319,175.9258908,176.4228339,94584100
4/1/2016,177.288208,177.4767042,174.7692259,175.0862493,114423500
4/4/2016,176.7141876,177.4167667,176.4057405,177.2111309,63497000
4/5/2016,174.9491882,176.7227493,174.6921468,175.3604467,99662200
4/6/2016,176.859787,176.919769,174.7692031,174.949136,91839800
4/7/2016,174.7435455,176.1229876,174.0067004,175.7631349,113859000
4/8/2016,175.2147675,176.3714472,174.6749818,175.9344729,95040600
4/11/2016,174.8034515,176.5598852,174.7092035,175.8573065,83757500
4/12/2016,176.4314423,176.7141865,174.529354,174.9748916,115350600
4/13/2016,178.2135315,178.2992163,177.2196452,177.3567357,96336400
4/14/2016,178.2220917,178.7276111,177.8708153,178.2735104,65212900
4/15/2016,178.0250702,178.3592201,177.6994835,178.2221296,75761600
4/18/2016,179.276001,179.3102671,177.3567732,178.0250731,82531000
4/19/2016,179.8414459,180.0984873,179.0189292,179.7043685,88316100
4/20/2016,180.0128021,180.7153679,179.4044714,179.8842749,81100300
4/21/2016,179.0445862,180.1412836,178.7704053,180.0298959,85695000
4/22/2016,179.0445862,179.318754,178.1363849,178.6847336,99251700
4/25/2016,178.7361755,178.7790179,177.8193977,178.4362918,66166500
4/26/2016,179.00177,179.5158527,178.5219665,179.1045813,75864200
4/27/2016,179.370224,179.7643428,178.2563867,178.6162394,77329400
4/28/2016,177.7423096,179.721506,177.3224879,178.6076818,97216200
4/29/2016,176.7826843,177.4681236,175.6688471,177.1168342,142424100
5/2/2016,178.1878052,178.367725,176.851206,177.2881671,62188000
5/3/2016,176.6370239,177.1853727,175.8830394,176.9454709,106422100
5/4/2016,175.6517029,176.3714213,175.1461965,175.6345764,92243800
5/5/2016,175.6174622,176.4828213,175.1890642,176.1229686,67619200
5/6/2016,176.2600403,176.3028827,174.6835391,174.8377561,89315000
5/9/2016,176.4056854,176.8426466,175.9515847,176.1315176,74374900
5/10/2016,178.5990601,178.6161996,177.0482619,177.1168072,77472200
5/11/2016,176.9283447,178.6762025,176.9283447,178.13643,81727000
5/12/2016,176.9797363,177.7765632,175.9601472,177.6051936,89586300
5/13/2016,175.4375153,177.2367918,175.1119417,176.6798797,96474600
5/16/2016,177.1682434,177.648047,175.5488998,175.6088818,77486800
5/17/2016,175.514679,177.1854287,174.9834565,176.8941211,114924900
5/18/2016,175.56604,176.7569857,174.4693424,175.1633449,120062100
5/19/2016,174.9577026,175.2490101,173.7410541,174.8377517,115430500
5/20/2016,176.0630188,176.5856649,175.5232331,175.5746388,104990400
5/23/2016,175.8231049,176.3628774,175.6346087,176.0801332,58682600
5/24/2016,178.1021576,178.419181,176.6199044,176.6456072,93537800
5/25/2016,179.3102264,179.7300611,178.1021412,178.7875805,76621400
5/26/2016,179.3616638,179.6786872,179.0446535,179.4473486,55280700
5/27/2016,180.1327362,180.1412995,179.4729998,179.5244055,64211200
5/31/2016,179.7900238,180.5183054,179.2245354,180.4069178,109879400
6/1/2016,180.1584625,180.3383823,178.9760801,179.1731395,69936200
6/2/2016,180.7068329,180.7239594,179.2759853,179.7557889,63044700
6/3/2016,180.167038,180.5183274,178.9503894,180.1413351,101757100
6/6/2016,181.0838165,181.4436692,180.364098,180.5268914,64887000
6/7/2016,181.3665161,181.9320044,181.2122992,181.238002,60974800
6/8/2016,181.9577179,182.0862451,181.375103,181.5036172,66170900
6/9/2016,181.7092743,181.8292252,180.9467265,181.2208944,73786900
6/10/2016,179.9871368,180.6639999,179.4387749,180.3212867,113829200
6/13/2016,178.5990601,180.2441062,178.5133883,179.3787473,117751200
6/14/2016,178.2478333,178.8476009,177.2882259,178.2135672,125059300
6/15/2016,177.9992981,179.3787396,177.810802,178.2477631,109124500
6/16/2016,178.5305481,178.7019177,176.1486567,177.9993388,149533100
6/17/2016,177.8656769,178.4513216,177.2025095,178.4254851,117055700
6/20/2016,179.0111542,180.5269523,178.9250238,179.8465693,82789600
6/21/2016,179.5192871,179.9326842,178.9508579,179.3987124,72461700
6/22/2016,179.2264557,180.4322026,179.0800314,179.7001335,95560500
6/23/2016,181.5604401,181.6121131,180.2341184,180.6991885,102731400
6/24/2016,175.040802,181.594928,174.5929474,175.3766896,333444400
6/27/2016,171.9058533,173.6283568,171.0876536,173.6197358,230775800
6/28/2016,175.0062714,175.0321079,173.214867,173.524918,159382400
6/29/2016,177.9862061,178.2187345,176.3153763,176.4187223,137328600
6/30/2016,180.414978,180.466651,177.900125,178.4599464,165021900
7/1/2016,180.7939301,181.2848498,180.2513374,180.4149773,106055300
7/5/2016,179.4934387,180.0704757,178.8905653,179.9585088,109803700
7/6/2016,180.5700378,180.6906126,178.3307781,178.9939456,96021500
7/7/2016,180.4580841,181.4226819,179.6829628,180.7509066,85593800
7/8/2016,183.1451416,183.3949119,181.5346054,181.767147,133971000
7/11/2016,183.7910461,184.3680962,183.4034856,183.6101907,73633900
7/12/2016,185.1259918,185.4274351,183.816886,184.7642678,101275600
7/13/2016,185.1002045,185.5566668,184.6092979,185.548059,87324100
7/14/2016,186.1336823,186.6073732,185.7375139,186.3748316,91230900
7/15/2016,185.8839264,186.9001969,185.4360719,186.7021127,107155400
7/18/2016,186.3834534,186.5470933,185.7461225,186.0045006,58725900
7/19/2016,186.1940002,186.2284445,185.7117014,185.9614586,54345700
7/20/2016,186.969101,187.2102503,186.1939798,186.1939798,58159500
7/21/2016,186.2629089,187.0810954,185.8150544,186.8571747,67777300
7/22/2016,187.0983276,187.1500006,186.1165012,186.3834871,62787500
7/25/2016,186.5901337,186.9432499,186.004489,186.891577,55873100
7/26/2016,186.6762543,187.0379783,185.8236106,186.4867779,70080500
7/27/2016,186.4781647,187.1241033,185.7030305,187.0552016,84083900
7/28/2016,186.693512,186.9863344,185.8150317,186.2801017,65035700
7/29/2016,186.9949188,187.3566429,186.1422883,186.4265028,79519400
8/1/2016,186.83992,187.4514013,186.3834578,187.0552329,73311400
8/2/2016,185.6427765,186.7451774,184.7987536,186.5901453,92295500
8/3/2016,186.185379,186.245673,185.2810753,185.5825055,53993600
8/4/2016,186.3834534,186.7021122,184.5231468,186.297323,46585500
8/5/2016,187.9078979,187.9509632,186.3834918,186.3834918,71892200
8/8/2016,187.795929,188.2007183,187.528943,188.0973592,39906500
8/9/2016,187.9078979,188.4074255,187.5806312,187.8648459,51251700
8/10/2016,187.4427338,188.09728,187.0896176,188.0197706,57941100
8/11/2016,188.3126373,188.5624076,187.7097639,187.9767498,72504300
8/12/2016,188.1489868,188.3642997,187.7441976,188.0025625,61313500
8/15/2016,188.6916046,189.0447209,188.5107491,188.5193569,49813500
8/16/2016,187.718399,188.3384881,187.718399,188.2695995,53213600
8/17/2016,188.0715027,188.2093061,186.9088209,187.7528438,75134300
8/18/2016,188.4934998,188.527944,187.9336915,188.0456453,52989300
8/19/2016,188.2179108,188.3987794,187.52892,188.0198266,75443000
8/22/2016,188.2093048,188.4418464,187.6064313,187.9767632,61368800
8/23/2016,188.5882263,189.1308189,188.5279324,188.8293757,53399200
8/24/2016,187.6236572,188.5365818,187.2016392,188.4418436,71728900
8/25/2016,187.4944458,187.9164638,187.0810488,187.2360677,69224800
8/26/2016,187.1413116,188.7174033,186.245616,187.6839042,122506300
8/29/2016,188.0628815,188.3298673,187.2360742,187.2705317,70502200
8/30/2016,187.7528534,188.2609887,187.1930451,187.9767741,58114500
8/31/2016,187.2188721,187.5375309,186.43513,187.4169563,85269500
9/1/2016,187.2274933,187.5203157,186.0561905,187.2102646,97844200
9/2/2016,188.0715027,188.5021285,187.4944657,188.0887314,79293900
9/6/2016,188.6399384,188.7174478,187.6322756,188.3557237,56702100
9/7/2016,188.6226654,188.803534,188.0111843,188.4762542,76554900
9/8/2016,188.1921234,188.5624685,187.8820722,188.2868616,74102900
9/9/2016,183.6877594,186.9174532,183.6619229,186.8657802,221589100
9/12/2016,186.3231354,186.7279246,182.8522931,182.9211948,168110900
9/13/2016,183.6446381,185.2982392,183.0159282,185.0312534,182828800
9/14/2016,183.5757751,184.9107178,183.0159669,183.6963498,134185500
9/15/2016,185.4102478,185.7978084,183.2312823,183.4121509,134427900
9/16/2016,184.6934967,184.9704957,184.0010257,184.7887135,155236400
9/19/2016,184.7281342,186.0005702,184.3992012,185.3513687,80250500
9/20/2016,184.7367859,185.7495387,184.7021676,185.5937367,69665300
9/21/2016,186.8142548,186.9960238,184.7541175,185.4466018,110284400
9/22/2016,187.9914093,188.2943752,187.5845886,187.8356073,76678700
9/23/2016,186.9613953,187.7317806,186.8661785,187.5932811,73630900
9/26/2016,185.4466553,186.3035932,185.2475572,186.1218241,89827300
9/27/2016,186.5978546,186.6930582,184.9099199,185.2821357,78494800
9/28/2016,187.5240021,187.6798173,185.8533967,186.8228666,87411000
9/29/2016,185.8274689,187.7231398,185.273484,187.3163057,128070600
9/30/2016,187.2297058,187.9394925,186.4160379,186.6670566,117202900
10/3/2016,186.7795715,187.0046233,186.1390214,186.814203,83512100
10/4/2016,185.8274689,187.1172209,185.2302145,186.8921691,119948100
10/5/2016,186.6497498,187.0825507,186.3900665,186.4593163,72816000
10/6/2016,186.7795715,187.0046233,185.8793514,186.4246716,62927400
10/7/2016,186.1390381,187.229705,185.4032844,187.0565873,89788300
10/10/2016,187.1085815,187.5760009,186.9614307,187.1085815,51855000
10/11/2016,184.7454529,186.7450049,184.009699,186.6757551,130367400
10/12/2016,184.9878387,185.5158566,184.3819067,184.8839575,73866100
10/13/2016,184.3819122,184.8839631,182.8238389,183.6461583,101357000
10/14/2016,184.4770966,185.8360981,184.3991955,185.3686656,93346200
10/17/2016,183.8365936,184.7108471,183.6548114,184.4511638,58275700
10/18/2016,184.9878387,185.5071921,184.6069717,185.4466068,76869700
10/19/2016,185.4812317,185.792849,184.8926286,185.2561799,66519200
10/20/2016,185.134964,185.6976,184.4684467,185.1262995,73639800
10/21/2016,185.2215271,185.3080926,184.1654915,185.1349748,89089100
10/24/2016,186.0092316,186.3814473,185.6543315,186.1044483,60146600
10/25/2016,185.3859558,186.0870912,185.2214893,185.827408,66542300
10/26/2016,185.0137634,185.6023664,184.3126148,184.5549955,75705500
10/27/2016,184.5204468,185.7755675,184.4425457,185.7409492,77220200
10/28/2016,183.9750519,185.1782382,183.2566138,184.4944184,140623200
10/31/2016,183.9836884,184.537673,183.8192219,184.3126081,61272500
11/1/2016,182.6507111,184.3646129,181.430222,184.3126657,122781800
11/2/2016,181.5513916,182.728611,181.1099261,182.3390795,103330800
11/3/2016,180.7203827,181.9841674,180.4433969,181.7677669,88939300
11/4/2016,180.5213013,181.6812048,180.3741505,180.8329185,109122100
11/7/2016,184.5030212,184.5376527,180.5212608,180.5212608,109794900
11/8/2016,185.3340302,185.9053306,183.8365425,184.104877,106772100
11/9/2016,187.2990112,187.9222459,183.8019709,183.8279379,258429000
11/10/2016,187.7664032,188.9695896,186.2948823,188.0953362,172113300
11/11/2016,187.3335571,187.5759246,186.381403,187.0392557,100552700
11/14/2016,187.4807587,188.069375,186.7276891,187.8616257,94580000
11/15/2016,188.9436035,188.9436035,187.6625163,187.8702523,91652600
11/16/2016,188.5887146,188.8224309,188.1991963,188.3203801,65617700
11/17/2016,189.5581665,189.6187518,188.6319661,188.7444986,69797200
11/18/2016,189.1340027,189.8005198,188.9522205,189.6274021,86265800
11/21/2016,190.5623016,190.5882686,189.5668645,189.7140153,72402600
11/22/2016,190.9344635,191.1162325,190.1986966,190.873865,67429000
11/23/2016,191.0383759,191.0903099,190.2160565,190.4151413,56620200
11/25/2016,191.7481995,191.7828177,191.3067339,191.3846481,37872300
11/28/2016,190.8479462,191.7135483,190.7440781,191.4365625,76572500
11/29/2016,191.2201691,191.6789371,190.5796187,190.8825848,69886700
11/30/2016,190.7613525,192.0078214,190.7007541,191.8433549,113291800
12/1/2016,190.0602112,191.0642993,189.6966468,191.0642993,79040500
12/2/2016,190.1554413,190.6488408,189.79189,190.14679,74840300
12/5/2016,191.2980499,191.6442855,190.7959992,190.9950839,67837800
12/6/2016,191.904007,191.9386384,191.0037865,191.4885216,59877400
12/7/2016,194.4142303,194.4748156,191.6269906,191.7481744,110738100
12/8/2016,194.8902893,195.3663731,194.119904,194.3882518,99714400
12/9/2016,196.0675507,196.0848664,195.0807647,195.1153962,88005800
12/12/2016,195.8424377,196.4570209,195.418288,195.9722728,102016100
12/13/2016,197.1495056,197.6515564,196.4916529,196.5089686,110477500
12/14/2016,195.5221558,197.5563122,195.0806904,196.8465256,142501800
12/15/2016,196.3272095,197.1928116,195.5308571,195.7645734,124972600
12/16/2016,195.9432068,196.8487463,195.6210506,196.7877907,156420200
12/19/2016,196.3698883,196.7965381,195.9780741,196.1260922,90341100
12/20/2016,197.1273499,197.2753812,196.6745934,196.9096739,89838800
12/21/2016,196.5788727,197.1709451,196.5788727,196.9968069,67909000
12/22/2016,196.2393036,196.5527576,195.8387738,196.4308596,56219100
12/23/2016,196.5265808,196.5352831,196.0912289,196.2827715,36697800
12/27/2016,197.0141907,197.4147071,196.7790969,196.7965147,42672500
12/28/2016,195.3859558,197.2927995,195.2727733,197.275395,64095000
12/29/2016,195.3424683,195.8126426,194.8984007,195.4556508,48696100
12/30/2016,194.6284485,195.7603663,193.9318827,195.6732905,108998300
1/3/2017,196.1173706,196.6310828,194.9332127,195.9432192,91366500
1/4/2017,197.2841034,197.4321215,196.4395195,196.4482218,78744400
1/5/2017,197.1273499,197.2840835,196.3263039,197.0141674,78379000
1/6/2017,197.8326416,198.3028159,196.6920083,197.240556,71559900
1/9/2017,197.1796265,197.7107564,197.1447909,197.5714406,46939700
1/10/2017,197.1796265,198.0416149,196.7877991,197.197031,63771900
1/11/2017,197.7368622,197.7368622,196.4220908,197.0925365,74650000
1/12/2017,197.2405701,197.432126,195.8735717,197.21445,72113200
1/13/2017,197.6933441,197.9980825,197.3798901,197.4147125,62717900
1/17/2017,196.9967651,197.4582372,196.604951,197.0490052,61240800
1/18/2017,197.4321442,197.475682,196.6920404,197.2492905,54793300
1/19/2017,196.7007141,197.6497781,196.2653622,197.5104623,66608800
1/20/2017,197.4234161,197.9197105,196.7529704,197.3885805,129168600
1/23/2017,196.909729,197.4843969,196.1435184,197.4234545,75061600
1/24/2017,198.1722565,198.5901907,197.0142184,197.1274009,95555300
1/25/2017,199.8875275,199.8875275,198.96457,199.1300059,84437700
1/26/2017,199.6786041,200.009476,199.3999724,199.7395465,59970700
1/27/2017,199.3651123,199.9049446,199.1822586,199.7569265,59711100
1/30/2017,198.1287079,198.6946602,197.1361058,198.6685401,79737300
1/31/2017,198.1112976,198.1722533,197.0577531,197.6324077,75880800
2/1/2017,198.1896362,199.0342202,197.5975639,198.1112761,79117700
2/2/2017,198.3202515,198.6075854,197.4930853,198.1896379,69657600
